PlayKey,time,event,x,y,dir,dis,o,s
43540-3-1,0.0,huddle_start_offense,87.46,28.93,288.24,0.01,262.33,0.13
43540-3-1,0.1,,87.45,28.92,283.91,0.01,261.69,0.12
43540-3-1,0.2,,87.44,28.92,280.4,0.01,261.17,0.12
43540-3-1,0.3,,87.44,28.92,278.79,0.01,260.66,0.1
43540-3-1,0.4,,87.44,28.92,275.44,0.01,260.27,0.09
43540-3-1,0.5,,87.45,28.92,270.06,0.01,260.08,0.07
43540-3-1,0.6,,87.46,28.92,265.05,0.01,260.05,0.05
43540-3-1,0.7,,87.46,28.92,255.75,0.0,260.28,0.02
43540-3-1,0.8,,87.46,28.92,244.56,0.0,260.72,0.01
43540-3-1,0.9,,87.46,28.92,220.57,0.0,261.26,0.01
43540-3-1,1.0,,87.46,28.92,188.42,0.0,261.79,0.0
43540-3-1,1.1,,87.46,28.92,118.12,0.0,262.32,0.01
43540-3-1,1.2,,87.45,28.92,105.26,0.0,262.83,0.01
43540-3-1,1.3,,87.45,28.92,117.95,0.0,263.29,0.01
43540-3-1,1.4,,87.45,28.92,177.22,0.0,263.72,0.0
43540-3-1,1.5,,87.45,28.92,227.39,0.0,264.12,0.01
43540-3-1,1.6,,87.45,28.92,235.38,0.0,264.52,0.0
43540-3-1,1.7,,87.45,28.92,245.87,0.0,264.89,0.0
43540-3-1,1.8,,87.45,28.92,246.84,0.0,265.21,0.0
43540-3-1,1.9,,87.45,28.92,219.7,0.0,265.49,0.0
43540-3-1,2.0,,87.45,28.92,174.58,0.0,265.72,0.0
43540-3-1,2.1,,87.45,28.92,140.45,0.0,265.92,0.0
43540-3-1,2.2,,87.45,28.91,124.16,0.0,266.08,0.01
43540-3-1,2.3,,87.45,28.91,118.58,0.0,266.22,0.01
43540-3-1,2.4,,87.45,28.91,115.21,0.0,266.33,0.01
43540-3-1,2.5,,87.45,28.91,111.46,0.0,266.41,0.01
43540-3-1,2.6,,87.45,28.91,107.99,0.0,266.48,0.01
43540-3-1,2.7,,87.45,28.91,105.14,0.0,266.53,0.01
43540-3-1,2.8,,87.45,28.91,102.31,0.0,266.57,0.02
43540-3-1,2.9,,87.46,28.91,99.76,0.0,266.6,0.02
43540-3-1,3.0,,87.46,28.91,96.47,0.0,266.64,0.02
43540-3-1,3.1,,87.46,28.91,92.74,0.0,266.67,0.02
43540-3-1,3.2,,87.46,28.91,88.16,0.0,266.71,0.02
43540-3-1,3.3,,87.47,28.91,82.2,0.0,266.76,0.02
43540-3-1,3.4,,87.47,28.91,74.54,0.0,266.81,0.02
43540-3-1,3.5,,87.47,28.91,64.74,0.0,266.86,0.02
43540-3-1,3.6,,87.48,28.91,52.49,0.0,266.91,0.02
43540-3-1,3.7,,87.48,28.91,37.76,0.0,266.97,0.02
43540-3-1,3.8,,87.48,28.91,21.79,0.0,267.01,0.02
43540-3-1,3.9,,87.48,28.91,1.84,0.0,267.03,0.02
